gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,Yes,No,41,Yes,Yes,No,No internet service,Yes,Yes,No internet service,No internet service,No internet service,One year,Yes,Credit card,62.29,2558.86,No
Female,0,No,Yes,42,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,No internet service,No,One year,Yes,Electronic check,51.84,2171.02,No
Female,0,Yes,Yes,50,Yes,No,Fiber optic,No internet service,No,No,No,No,Yes,Month-to-month,No,Mailed check,68.67,3440.33,Yes
Male,0,No,No,27,Yes,No phone service,No,No,No internet service,No,No internet service,Yes,No,One year,Yes,Mailed check,116.34,3136.7,No
Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No,Yes,Month-to-month,Yes,Electronic check,82.26,3957.67,Yes
Female,0,Yes,No,11,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No internet service,One year,No,Electronic check,117.69,1288.39,Yes
Female,0,No,No,51,Yes,No phone service,No,Yes,Yes,No,Yes,No internet service,Yes,Two year,No,Electronic check,29.28,1496.32,No
Female,0,Yes,Yes,71,Yes,No phone service,DSL,No,No,No,No internet service,No,Yes,One year,No,Mailed check,74.88,5323.7,No
Female,0,Yes,Yes,12,Yes,No phone service,No,Yes,No,Yes,Yes,Yes,No internet service,One year,No,Electronic check,20.76,258.17,No
Female,0,Yes,Yes,54,Yes,Yes,No,No,No internet service,Yes,No internet service,Yes,No internet service,One year,No,Credit card,112.86,6094.03,No
Female,0,Yes,Yes,55,No,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Bank transfer,20.46,1119.43,Yes
Male,1,No,No,11,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Mailed check,83.73,915.12,No
Male,0,Yes,Yes,59,Yes,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card,76.54,4522.29,No
Female,0,No,Yes,5,Yes,No phone service,No,No,No,No,Yes,No,Yes,Two year,No,Bank transfer,76.05,379.48,No
Male,0,No,No,42,Yes,Yes,No,No internet service,No internet service,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,117.84,4939.68,No
Male,0,Yes,Yes,47,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer,39.43,1861.63,No
Male,0,Yes,Yes,8,Yes,No phone service,DSL,Yes,No internet service,Yes,No internet service,No,No internet service,Month-to-month,No,Electronic check,105.82,845.16,No
Male,0,No,Yes,21,No,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,90.47,1892.83,No
Male,0,Yes,Yes,70,Yes,Yes,DSL,Yes,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Bank transfer,116.19,8134.35,No
Female,0,No,No,29,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card,32.07,924.71,No
